PointDistanceFollower  May 27 2018  mode = Single Point
POINT_2018-05-27.16_57_52.0_4.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
89    -40.85942  -6.15115  -8.28409  -2.05777 -34.26267  -0.90228     (-40.859,-2.058) (-6.151,-34.263) (-8.284,-0.902)      8.33875  13.0687  11.8009  8.33875  
90    -41.34339  -5.67236  -7.92212  -2.07154 -34.57992  -0.89710     (-41.343,-2.072) (-5.672,-34.580) (-7.922,-0.897)      7.50488  11.7618  10.6208  7.50488  
91    -41.82736  -5.19357  -7.56015  -2.08531 -34.89716  -0.89192     (-41.827,-2.085) (-5.194,-34.897) (-7.560,-0.892)      6.671  10.4549  9.44072  6.671  
92    -42.31133  -4.71478  -7.19818  -2.09908 -35.21441  -0.88674     (-42.311,-2.099) (-4.715,-35.214) (-7.198,-0.887)      5.83713  9.14806  8.26063  5.83713  
93    -42.79530  -4.23599  -6.83621  -2.11285 -35.53166  -0.88156     (-42.795,-2.113) (-4.236,-35.532) (-6.836,-0.882)      5.00325  7.8412  7.08054  5.00325  
94    -43.27926  -3.75721  -6.47424  -2.12662 -35.84890  -0.87638     (-43.279,-2.127) (-3.757,-35.849) (-6.474,-0.876)      4.16938  6.53433  5.90045  4.16938  
95    -43.76323  -3.27842  -6.11227  -2.14039 -36.16615  -0.87120     (-43.763,-2.140) (-3.278,-36.166) (-6.112,-0.871)      3.3355  5.22746  4.72036  3.3355  
96    -44.24720  -2.79963  -5.75030  -2.15416 -36.48340  -0.86602     (-44.247,-2.154) (-2.800,-36.483) (-5.750,-0.866)      2.50163  3.9206  3.54027  2.50163  
97    -44.73117  -2.32084  -5.38833  -2.16793 -36.80065  -0.86084     (-44.731,-2.168) (-2.321,-36.801) (-5.388,-0.861)      1.66775  2.61373  2.36018  1.66775  
98    -45.21514  -1.84205  -5.02636  -2.18170 -37.11789  -0.85566     (-45.215,-2.182) (-1.842,-37.118) (-5.026,-0.856)      0.833875  1.30687  1.18009  0.833875  
99    -45.69910  -1.36326  -4.66439  -2.19548 -37.43514  -0.85048     (-45.699,-2.195) (-1.363,-37.435) (-4.664,-0.850)      0  0  0  0  
