PointDistanceFollower   Jul 16 2018   mode =  Single Point 
Fol_2018-07-17.10_22_03.0_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist NCDist D7Dist CS6Dist  distance between 
Compute times (msec)     S6Dist   310   NCDist   1488   D7Dist   699   CS6Dist  9
PointDistanceFollower  Jul 16 2018  mode = Single Point
Fol_2018-07-17.10_22_03.0_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist NCDist D7Dist CS6Dist distance between
88    -39.37789  -5.76191 -11.78588  -2.08102 -34.07744  -1.59809     (-39.378,-2.081) (-5.762,-34.077) (-11.786,-1.598)      8.89985  14.3547  12.6013  8.89985  
89    -39.84999  -5.27644 -11.45183  -2.08528 -34.36772  -1.61146     (-39.850,-2.085) (-5.276,-34.368) (-11.452,-1.611)      8.09077  13.0497  11.4557  8.09077  
90    -40.32209  -4.79097 -11.11777  -2.08954 -34.65800  -1.62482     (-40.322,-2.090) (-4.791,-34.658) (-11.118,-1.625)      7.28169  11.7448  10.3101  7.28169  
91    -40.79419  -4.30551 -10.78372  -2.09380 -34.94827  -1.63819     (-40.794,-2.094) (-4.306,-34.948) (-10.784,-1.638)      6.47262  10.4398  9.16457  6.47262  
92    -41.26629  -3.82004 -10.44967  -2.09806 -35.23855  -1.65156     (-41.266,-2.098) (-3.820,-35.239) (-10.450,-1.652)      5.66354  9.13481  8.019  5.66354  
93    -41.73839  -3.33457 -10.11562  -2.10232 -35.52883  -1.66493     (-41.738,-2.102) (-3.335,-35.529) (-10.116,-1.665)      4.85446  7.82984  6.87343  4.85446  
94    -42.21049  -2.84911  -9.78156  -2.10658 -35.81911  -1.67829     (-42.210,-2.107) (-2.849,-35.819) (-9.782,-1.678)      4.04538  6.52486  5.72786  4.04538  
95    -42.68259  -2.36364  -9.44751  -2.11084 -36.10938  -1.69166     (-42.683,-2.111) (-2.364,-36.109) (-9.448,-1.692)      3.23631  5.21989  4.58229  3.23631  
96    -43.15469  -1.87817  -9.11346  -2.11510 -36.39966  -1.70503     (-43.155,-2.115) (-1.878,-36.400) (-9.113,-1.705)      2.42723  3.91492  3.43671  2.42723  
97    -43.62679  -1.39270  -8.77941  -2.11936 -36.68994  -1.71840     (-43.627,-2.119) (-1.393,-36.690) (-8.779,-1.718)      1.61815  2.60995  2.29114  1.61815  
98    -44.09889  -0.90724  -8.44535  -2.12362 -36.98021  -1.73176     (-44.099,-2.124) (-0.907,-36.980) (-8.445,-1.732)      0.809077  1.30497  1.14557  0.809077  
99    -44.57099  -0.42177  -8.11130  -2.12788 -37.27049  -1.74513     (-44.571,-2.128) (-0.422,-37.270) (-8.111,-1.745)      0  0  2.6974e-06  0  
