PointDistanceFollower   Apr 16 2020   mode =  LINE3 
Fol_.1_0.txt      Output is S6 probe cell, C3 reduced cell,  S6Dist CS6Dist LMDist  distance between 
Compute times (msec)     S6Dist  65   CS6Dist 6   LMDist  104243
PointDistanceFollower  Apr 16 2020  mode = LINE3
Fol_.1_0.txt     Output is S6 probe cell, C3 reduced cell, S6Dist CS6Dist LMDist distance between
88      6.17087  -3.98977 -40.48089  -1.12735 -13.24157 -13.61563     (-5.264,-5.117) (-2.181,-36.491) (-4.890,-3.990)      25.291  25.291  22.8158  
89      6.73846  -4.04663 -40.71348  -1.01557 -13.61720 -13.47505     (-4.045,-5.062) (-2.692,-36.667) (-4.187,-4.047)      25.6846  25.6846  22.5728  
90      7.30605  -4.10349 -40.94606  -0.90378 -13.99282 -13.33446     (-2.826,-5.007) (-3.203,-36.843) (-3.484,-4.103)      26.0582  26.0582  22.3724  
91      7.87365  -4.16036 -41.17865  -0.79200 -14.36845 -13.19388     (-1.607,-4.952) (-3.713,-37.018) (-2.782,-4.160)      26.4603  26.4603  22.2352  
92      8.44124  -4.21722 -41.41123  -0.68021 -14.74407 -13.05330     (-0.388,-4.897) (-4.224,-37.194) (-2.079,-4.217)      26.769  26.769  22.1622  
93      9.00883  -4.27408 -41.64382  -0.56843 -15.11970 -12.91272     (-0.831,-5.673) (-3.904,-0.545) (-36.539,-3.443)      26.3283  26.3283  20.7203  
94      9.57643  -4.33095 -41.87641  -0.45664 -15.49532 -12.77214     (-34.119,-5.461) (-4.572,-1.376) (-0.673,-0.905)      24.858  24.9819  18.1999  
95     10.14402  -4.38781 -42.10899  -0.34486 -15.87095 -12.63156     (-3.607,-2.525) (-28.976,-1.119) (-2.150,-2.179)      20.402  18.9928  15.4347  
96     10.71161  -4.44467 -42.34158  -0.23308 -16.24657 -12.49098     (-20.294,-0.043) (-1.651,-1.317) (-4.530,-2.543)      14.4097  14.3525  9.78238  
97     11.27921  -4.50153 -42.57416  -0.12129 -16.62220 -12.35039        invalid           invalid      invalid   
98     11.84680  -4.55840 -42.80675  -0.00951 -16.99782 -12.20981        invalid           invalid      invalid   
99     12.41439  -4.61526 -43.03934   0.10228 -17.37345 -12.06923        invalid           invalid      invalid   
