Fol_.22_.txt     Output is probe cell, reduced cell, NCDist distance between
109    -37.49605 -185.30145 755.39120 -6782.65927 -1504.80267 -378.69632       (-717.895,-147.805) (-5309.373,-37.496) (-31.516,-416.192)      1016.1
110    -37.47415 -189.99662 754.51787 -6775.87321 -1503.21102 -378.36592       (-717.044,-152.522) (-5304.312,-37.474) (-31.649,-415.840)      1012.08
111    -37.45225 -194.69180 753.64453 -6769.08716 -1501.61938 -378.03551       (-716.192,-157.240) (-5299.250,-37.452) (-31.783,-415.488)      1008.09
112    -37.43035 -199.38698 752.77120 -6762.30110 -1500.02773 -377.70511       (-715.341,-161.957) (-5294.189,-37.430) (-31.916,-415.135)      1004.13
113    -37.40845 -204.08215 751.89786 -6755.51504 -1498.43608 -377.37471       (-714.489,-166.674) (-5289.128,-37.408) (-32.049,-414.783)      1000.2
114    -37.38655 -208.77733 751.02453 -6748.72899 -1496.84444 -377.04431       (-713.638,-171.391) (-5284.066,-37.387) (-32.182,-414.431)      996.312
115    -37.36465 -213.47251 750.15119 -6741.94293 -1495.25279 -376.71390       (-712.787,-176.108) (-5279.005,-37.365) (-32.315,-414.079)      992.455
116    -37.34275 -218.16768 749.27785 -6735.15688 -1493.66114 -376.38350       (-711.935,-180.825) (-5273.944,-37.343) (-32.448,-413.726)      988.631
117    -37.32085 -222.86286 748.40452 -6728.37082 -1492.06950 -376.05310       (-711.084,-185.542) (-5268.883,-37.321) (-32.581,-413.374)      984.842
118    -37.29895 -227.55804 747.53118 -6721.58476 -1490.47785 -375.72269       (-710.232,-190.259) (-5263.821,-37.299) (-32.714,-413.022)      981.088
119    -37.27705 -232.25321 746.65785 -6714.79871 -1488.88620 -375.39229       (-709.381,-194.976) (-5258.760,-37.277) (-32.848,-412.669)      977.37
120    -37.25515 -236.94839 745.78451 -6708.01265 -1487.29456 -375.06189       (-708.529,-199.693) (-5253.699,-37.255) (-32.981,-412.317)      973.687
121    -37.23325 -241.64356 744.91118 -6701.22659 -1485.70291 -374.73149       (-707.678,-204.410) (-5248.637,-37.233) (-33.114,-411.965)      970.041
122    -37.21135 -246.33874 744.03784 -6694.44054 -1484.11127 -374.40108       (-706.826,-209.127) (-5243.576,-37.211) (-33.247,-411.612)      966.432
123    -37.18945 -251.03392 743.16451 -6687.65448 -1482.51962 -374.07068       (-705.975,-213.844) (-5238.515,-37.189) (-33.380,-411.260)      962.859
124    -37.16756 -255.72909 742.29117 -6680.86843 -1480.92797 -373.74028       (-705.124,-218.562) (-5233.454,-37.168) (-33.513,-410.908)      959.324
125    -37.14566 -260.42427 741.41783 -6674.08237 -1479.33633 -373.40988       (-704.272,-223.279) (-5228.392,-37.146) (-33.646,-410.556)      955.827
126    -37.12376 -265.11945 740.54450 -6667.29631 -1477.74468 -373.07947       (-703.421,-227.996) (-5223.331,-37.124) (-33.779,-410.203)      952.368
