Fol_2018-03-05.09_12_29.28_.txt     Output is probe cell, reduced cell, NCDist distance between
106    -10.07350   1.20392   7.28454 -33.22300  -9.11983 -36.62689       (-10.797,-1.835) (-5.449,-6.653) (-4.624,-28.770)      6.57643
107    -10.07092   1.19374   7.27362 -33.18641  -9.12101 -36.61442       (-10.825,-1.847) (-5.426,-6.620) (-4.645,-28.801)      6.63939
108    -10.06833   1.18356   7.26271 -33.14983  -9.12218 -36.60196       (-10.854,-1.859) (-5.403,-6.587) (-4.665,-28.832)      6.70235
109    -10.06575   1.17338   7.25180 -33.11325  -9.12336 -36.58949       (-10.883,-1.872) (-5.380,-6.554) (-4.686,-28.862)      6.76531
110    -10.06316   1.16320   7.24089 -33.07666  -9.12454 -36.57703       (-10.911,-1.884) (-5.357,-6.520) (-4.706,-28.893)      6.82827
111    -10.06058   1.15302   7.22997 -33.04008  -9.12571 -36.56456       (-10.940,-1.896) (-5.334,-6.487) (-4.726,-28.924)      6.89123
112    -10.05799   1.14284   7.21906 -33.00350  -9.12689 -36.55209       (-10.968,-1.908) (-5.311,-6.454) (-4.747,-28.955)      6.9542
113    -10.05541   1.13266   7.20815 -32.96691  -9.12807 -36.53963       (-10.997,-1.920) (-5.288,-6.421) (-4.767,-28.986)      7.01716
114    -10.05282   1.12248   7.19724 -32.93033  -9.12924 -36.52716       (-11.026,-1.932) (-5.265,-6.388) (-4.788,-29.017)      7.08012
115    -10.05023   1.11230   7.18632 -32.89375  -9.13042 -36.51470       (-11.054,-1.944) (-5.242,-6.355) (-4.808,-29.048)      7.14308
116    -10.04765   1.10212   7.17541 -32.85716  -9.13160 -36.50223       (-11.083,-1.956) (-5.219,-6.321) (-4.828,-29.079)      7.20604
117    -10.04506   1.09194   7.16450 -32.82058  -9.13277 -36.48976       (-11.111,-1.968) (-5.196,-6.288) (-4.849,-29.110)      7.26901
118    -10.04248   1.08176   7.15359 -32.78400  -9.13395 -36.47730       (-11.140,-1.980) (-5.173,-6.255) (-4.869,-29.141)      7.33197
119    -10.03989   1.07158   7.14267 -32.74741  -9.13513 -36.46483       (-11.169,-1.992) (-5.150,-6.222) (-4.890,-29.171)      7.39493
120    -10.03731   1.06139   7.13176 -32.71083  -9.13630 -36.45237       (-11.197,-2.005) (-5.127,-6.189) (-4.910,-29.202)      7.45789
121    -10.03472   1.05121   7.12085 -32.67424  -9.13748 -36.43990       (-11.226,-2.017) (-5.104,-6.155) (-4.931,-29.233)      7.52086
122    -10.03214   1.04103   7.10994 -32.63766  -9.13866 -36.42743       (-11.254,-2.029) (-5.081,-6.122) (-4.951,-29.264)      7.58382
123    -10.02955   1.03085   7.09903 -32.60108  -9.13983 -36.41497       (-11.283,-2.041) (-5.058,-6.089) (-4.971,-29.295)      7.64678
124    -10.02697   1.02067   7.08811 -32.56449  -9.14101 -36.40250       (-11.312,-2.053) (-5.035,-6.056) (-4.992,-29.326)      7.6609
125    -10.02438   1.01049   7.07720 -32.52791  -9.14218 -36.39004       (-11.340,-2.065) (-5.012,-6.023) (-5.012,-29.357)      7.66313
126    -10.02180   1.00031   7.06629 -32.49133  -9.14336 -36.37757       (-11.369,-2.077) (-4.989,-5.990) (-5.033,-29.388)      7.66588
127    -10.01921   0.99013   7.05538 -32.45474  -9.14454 -36.36510       (-11.398,-2.089) (-4.966,-5.956) (-5.053,-29.419)      7.66915
128    -10.01663   0.97995   7.04446 -32.41816  -9.14571 -36.35264       (-11.426,-2.101) (-4.943,-5.923) (-5.073,-29.450)      7.67293
129    -10.01404   0.96977   7.03355 -32.38158  -9.14689 -36.34017       (-11.455,-2.113) (-4.920,-5.890) (-5.094,-29.480)      7.67722
130    -10.01146   0.95959   7.02264 -32.34499  -9.14807 -36.32771       (-11.483,-2.125) (-4.897,-5.857) (-5.114,-29.511)      7.68203
131    -10.00887   0.94941   7.01173 -32.30841  -9.14924 -36.31524       (-11.512,-2.138) (-4.874,-5.824) (-5.135,-29.542)      7.68736
132    -10.00629   0.93923   7.00081 -32.27183  -9.15042 -36.30277       (-11.541,-2.150) (-4.851,-5.790) (-5.155,-29.573)      7.69319
133    -10.00370   0.92905   6.98990 -32.23524  -9.15160 -36.29031       (-11.569,-2.162) (-4.828,-5.757) (-5.175,-29.604)      7.69953
134    -10.00111   0.91887   6.97899 -32.19866  -9.15277 -36.27784       (-11.598,-2.174) (-4.805,-5.724) (-5.196,-29.635)      7.70639
135     -9.99853   0.90869   6.96808 -32.16207  -9.15395 -36.26538       (-11.626,-2.186) (-4.782,-5.691) (-5.216,-29.666)      7.71375
136     -9.99594   0.89851   6.95717 -32.12549  -9.15513 -36.25291       (-11.655,-2.198) (-4.759,-5.658) (-5.237,-29.697)      7.72162
137     -9.99336   0.88832   6.94625 -32.08891  -9.15630 -36.24044       (-11.684,-2.210) (-4.736,-5.625) (-5.257,-29.728)      7.72999
138     -9.99077   0.87814   6.93534 -32.05232  -9.15748 -36.22798       (-11.712,-2.222) (-4.713,-5.591) (-5.278,-29.758)      7.73887
139     -9.98819   0.86796   6.92443 -32.01574  -9.15866 -36.21551       (-11.741,-2.234) (-4.690,-5.558) (-5.298,-29.789)      7.74825
140     -9.98560   0.85778   6.91352 -31.97916  -9.15983 -36.20305       (-11.769,-2.246) (-4.667,-5.525) (-5.318,-29.820)      7.75813
141     -9.98302   0.84760   6.90260 -31.94257  -9.16101 -36.19058       (-11.798,-2.258) (-4.644,-5.492) (-5.339,-29.851)      7.76851
142     -9.98043   0.83742   6.89169 -31.90599  -9.16219 -36.17811       (-11.827,-2.270) (-4.621,-5.459) (-5.359,-29.882)      7.77938
143     -9.97785   0.82724   6.88078 -31.86941  -9.16336 -36.16565       (-11.855,-2.283) (-4.598,-5.425) (-5.380,-29.913)      7.79075
144     -9.97526   0.81706   6.86987 -31.83282  -9.16454 -36.15318       (-11.884,-2.295) (-4.575,-5.392) (-5.400,-29.944)      7.80261
145     -9.97268   0.80688   6.85895 -31.79624  -9.16571 -36.14072       (-11.912,-2.307) (-4.552,-5.359) (-5.420,-29.975)      7.81495
146     -9.97009   0.79670   6.84804 -31.75966  -9.16689 -36.12825       (-11.941,-2.319) (-4.529,-5.326) (-5.441,-30.006)      7.82779
147     -9.96751   0.78652   6.83713 -31.72307  -9.16807 -36.11578       (-11.970,-2.331) (-4.506,-5.293) (-5.461,-30.037)      7.84111
148     -9.96492   0.77634   6.82622 -31.68649  -9.16924 -36.10332       (-11.998,-2.343) (-4.483,-5.260) (-5.482,-30.067)      7.85491
149     -9.96234   0.76616   6.81530 -31.64990  -9.17042 -36.09085       (-12.027,-2.355) (-4.460,-5.226) (-5.502,-30.098)      7.86919
150     -9.95975   0.75598   6.80439 -31.61332  -9.17160 -36.07839       (-12.055,-2.367) (-4.437,-5.193) (-5.523,-30.129)      7.88395
151     -9.95717   0.74580   6.79348 -31.57674  -9.17277 -36.06592       (-12.084,-2.379) (-4.414,-5.160) (-5.543,-30.160)      7.89919
152     -9.95458   0.73562   6.78257 -31.54015  -9.17395 -36.05346       (-12.113,-2.391) (-4.391,-5.127) (-5.563,-30.191)      7.91489
153     -9.95200   0.72543   6.77166 -31.50357  -9.17513 -36.04099       (-12.141,-2.403) (-4.368,-5.094) (-5.584,-30.222)      7.93107
154     -9.94941   0.71525   6.76074 -31.46699  -9.17630 -36.02852       (-12.170,-2.416) (-4.345,-5.060) (-5.604,-30.253)      7.94771
155     -9.94682   0.70507   6.74983 -31.43040  -9.17748 -36.01606       (-12.198,-2.428) (-4.322,-5.027) (-5.625,-30.284)      7.96481
156     -9.94424   0.69489   6.73892 -31.39382  -9.17866 -36.00359       (-12.227,-2.440) (-4.299,-4.994) (-5.645,-30.315)      7.98237
157     -9.94165   0.68471   6.72801 -31.35724  -9.17983 -35.99113       (-12.256,-2.452) (-4.276,-4.961) (-5.665,-30.346)      8.00039
158     -9.93907   0.67453   6.71709 -31.32065  -9.18101 -35.97866       (-12.284,-2.464) (-4.253,-4.928) (-5.686,-30.376)      8.01887
159     -9.93648   0.66435   6.70618 -31.28407  -9.18219 -35.96619       (-12.313,-2.476) (-4.230,-4.895) (-5.706,-30.407)      8.0378
160     -9.93390   0.65417   6.69527 -31.24749  -9.18336 -35.95373       (-12.341,-2.488) (-4.207,-4.861) (-5.727,-30.438)      8.05717
161     -9.93131   0.64399   6.68436 -31.21090  -9.18454 -35.94126       (-12.370,-2.500) (-4.184,-4.828) (-5.747,-30.469)      8.07699
162     -9.92873   0.63381   6.67344 -31.17432  -9.18571 -35.92880       (-12.399,-2.512) (-4.161,-4.795) (-5.768,-30.500)      8.09725
163     -9.92614   0.62363   6.66253 -31.13774  -9.18689 -35.91633       (-12.427,-2.524) (-4.138,-4.762) (-5.788,-30.531)      8.11794
164     -9.92356   0.61345   6.65162 -31.10115  -9.18807 -35.90386       (-12.456,-2.536) (-4.115,-4.729) (-5.808,-30.562)      8.13908
165     -9.92097   0.60327   6.64071 -31.06457  -9.18924 -35.89140       (-12.484,-2.549) (-4.092,-4.695) (-5.829,-30.593)      8.16064
166     -9.91839   0.59309   6.62980 -31.02798  -9.19042 -35.87893       (-12.513,-2.561) (-4.069,-4.662) (-5.849,-30.624)      8.18263
167     -9.91580   0.58291   6.61888 -30.99140  -9.19160 -35.86647       (-12.542,-2.573) (-4.046,-4.629) (-5.870,-30.654)      8.20505
168     -9.91322   0.57273   6.60797 -30.95482  -9.19277 -35.85400       (-12.570,-2.585) (-4.023,-4.596) (-5.890,-30.685)      8.22788
169     -9.91063   0.56255   6.59706 -30.91823  -9.19395 -35.84153       (-12.599,-2.597) (-4.000,-4.563) (-5.910,-30.716)      8.25114
170     -9.90805   0.55236   6.58615 -30.88165  -9.19513 -35.82907       (-12.627,-2.609) (-3.977,-4.530) (-5.931,-30.747)      8.27481
171     -9.90546   0.54218   6.57523 -30.84507  -9.19630 -35.81660       (-12.656,-2.621) (-3.954,-4.496) (-5.951,-30.778)      8.29888
172     -9.90288   0.53200   6.56432 -30.80848  -9.19748 -35.80414       (-12.685,-2.633) (-3.931,-4.463) (-5.972,-30.809)      8.32337
173     -9.90029   0.52182   6.55341 -30.77190  -9.19866 -35.79167       (-12.713,-2.645) (-3.908,-4.430) (-5.992,-30.840)      8.34826
174     -9.89771   0.51164   6.54250 -30.73532  -9.19983 -35.77920       (-12.742,-2.657) (-3.885,-4.397) (-6.013,-30.871)      8.37355
175     -9.89512   0.50146   6.53158 -30.69873  -9.20101 -35.76674       (-12.770,-2.669) (-3.862,-4.364) (-6.033,-30.902)      8.39923
176     -9.89253   0.49128   6.52067 -30.66215  -9.20219 -35.75427       (-12.799,-2.682) (-3.839,-4.330) (-6.053,-30.933)      8.42531
177     -9.88995   0.48110   6.50976 -30.62557  -9.20336 -35.74181       (-12.828,-2.694) (-3.816,-4.297) (-6.074,-30.963)      8.45177
178     -9.88736   0.47092   6.49885 -30.58898  -9.20454 -35.72934       (-12.856,-2.706) (-3.793,-4.264) (-6.094,-30.994)      8.47862
179     -9.88478   0.46074   6.48793 -30.55240  -9.20571 -35.71687       (-12.885,-2.718) (-3.770,-4.231) (-6.115,-31.025)      8.50585
180     -9.88219   0.45056   6.47702 -30.51581  -9.20689 -35.70441       (-12.913,-2.730) (-3.747,-4.198) (-6.135,-31.056)      8.53346
181     -9.87961   0.44038   6.46611 -30.47923  -9.20807 -35.69194       (-12.942,-2.742) (-3.724,-4.165) (-6.155,-31.087)      8.56145
182     -9.87702   0.43020   6.45520 -30.44265  -9.20924 -35.67948       (-12.971,-2.754) (-3.701,-4.131) (-6.176,-31.118)      8.5898
