2BOUNDS_2018-03-07.14_40_56.526_.txt     Output is probe cell, reduced cell, NCDist distance between
127    -40.58114 -22.17015   5.37961 -35.64009  -1.52231 -49.92690       (-1.522,-12.933) (-34.118,-3.857) (-31.344,-51.449)      12.9452
128    -40.53716 -22.19070   5.36516 -35.60510  -1.55185 -49.92244       (-1.552,-13.012) (-34.053,-3.813) (-31.359,-51.474)      13.0575
129    -40.49318 -22.21124   5.35072 -35.57012  -1.58139 -49.91798       (-1.581,-13.091) (-33.989,-3.769) (-31.373,-51.499)      13.17
130    -40.44920 -22.23178   5.33628 -35.53513  -1.61093 -49.91352       (-1.611,-13.170) (-33.924,-3.725) (-31.388,-51.524)      13.2825
131    -40.40521 -22.25232   5.32184 -35.50015  -1.64047 -49.90905       (-1.640,-13.249) (-33.860,-3.681) (-31.402,-51.550)      13.3952
132    -40.36123 -22.27287   5.30740 -35.46516  -1.67001 -49.90459       (-1.670,-13.328) (-33.795,-3.637) (-31.416,-51.575)      13.508
133    -40.31725 -22.29341   5.29296 -35.43018  -1.69955 -49.90013       (-1.700,-13.407) (-33.731,-3.593) (-31.431,-51.600)      13.6208
134    -40.27327 -22.31395   5.27851 -35.39520  -1.72909 -49.89566       (-1.729,-13.486) (-33.666,-3.549) (-31.445,-51.625)      13.7338
135    -40.22929 -22.33449   5.26407 -35.36021  -1.75863 -49.89120       (-1.759,-13.565) (-33.602,-3.505) (-31.460,-51.650)      13.8468
136    -40.18531 -22.35503   5.24963 -35.32523  -1.78817 -49.88674       (-1.788,-13.644) (-33.537,-3.461) (-31.474,-51.675)      13.96
137    -40.14133 -22.37558   5.23519 -35.29024  -1.81770 -49.88228       (-1.818,-13.723) (-33.473,-3.417) (-31.489,-51.700)      14.0732
138    -40.09734 -22.39612   5.22075 -35.25526  -1.84724 -49.87781       (-1.847,-13.802) (-33.408,-3.374) (-31.503,-51.725)      14.1865
139    -40.05336 -22.41666   5.20630 -35.22027  -1.87678 -49.87335       (-1.877,-13.881) (-33.343,-3.330) (-31.518,-51.750)      14.2999
140    -40.00938 -22.43720   5.19186 -35.18529  -1.90632 -49.86889       (-1.906,-13.960) (-33.279,-3.286) (-31.532,-51.775)      14.4134
141    -39.96540 -22.45775   5.17742 -35.15031  -1.93586 -49.86442       (-1.936,-14.039) (-33.214,-3.242) (-31.546,-51.800)      14.527
142    -39.92142 -22.47829   5.16298 -35.11532  -1.96540 -49.85996       (-1.965,-14.118) (-33.150,-3.198) (-31.561,-51.825)      14.6406
143    -39.87744 -22.49883   5.14854 -35.08034  -1.99494 -49.85550       (-1.995,-14.197) (-33.085,-3.154) (-31.575,-51.850)      14.7543
144    -39.83345 -22.51937   5.13409 -35.04535  -2.02448 -49.85103       (-2.024,-14.276) (-33.021,-3.110) (-31.590,-51.876)      14.8681
145    -39.78947 -22.53992   5.11965 -35.01037  -2.05402 -49.84657       (-2.054,-14.355) (-32.956,-3.066) (-31.604,-51.901)      14.982
146    -39.74549 -22.56046   5.10521 -34.97539  -2.08356 -49.84211       (-2.084,-14.434) (-32.892,-3.022) (-31.619,-51.926)      15.0959
147    -39.70151 -22.58100   5.09077 -34.94040  -2.11310 -49.83765       (-2.113,-14.513) (-32.827,-2.978) (-31.633,-51.951)      15.2099
148    -39.65753 -22.60154   5.07633 -34.90542  -2.14264 -49.83318       (-2.143,-14.592) (-32.763,-2.934) (-31.648,-51.976)      15.324
149    -39.61355 -22.62209   5.06188 -34.87043  -2.17218 -49.82872       (-2.172,-14.670) (-32.698,-2.890) (-31.662,-52.001)      15.4381
150    -39.56956 -22.64263   5.04744 -34.83545  -2.20172 -49.82426       (-2.202,-14.749) (-32.634,-2.846) (-31.676,-52.026)      15.5524
151    -39.52558 -22.66317   5.03300 -34.80046  -2.23126 -49.81979       (-2.231,-14.828) (-32.569,-2.802) (-31.691,-52.051)      15.6666
152    -39.48160 -22.68371   5.01856 -34.76548  -2.26080 -49.81533       (-2.261,-14.907) (-32.505,-2.758) (-31.705,-52.076)      15.7518
153    -39.43762 -22.70425   5.00412 -34.73050  -2.29034 -49.81087       (-2.290,-14.986) (-32.440,-2.714) (-31.720,-52.101)      15.7837
154    -39.39364 -22.72480   4.98968 -34.69551  -2.31988 -49.80641       (-2.320,-15.065) (-32.376,-2.670) (-31.734,-52.126)      15.8165
155    -39.34966 -22.74534   4.97523 -34.66053  -2.34942 -49.80194       (-2.349,-15.144) (-32.311,-2.626) (-31.749,-52.151)      15.85
156    -39.30568 -22.76588   4.96079 -34.62554  -2.37896 -49.79748       (-2.379,-15.223) (-32.247,-2.582) (-31.763,-52.176)      15.8844
157    -39.26169 -22.78642   4.94635 -34.59056  -2.40850 -49.79302       (-2.408,-15.302) (-32.182,-2.538) (-31.777,-52.202)      15.9196
158    -39.21771 -22.80697   4.93191 -34.55557  -2.43804 -49.78855       (-2.438,-15.381) (-32.118,-2.494) (-31.792,-52.227)      15.9556
159    -39.17373 -22.82751   4.91747 -34.52059  -2.46758 -49.78409       (-2.468,-15.460) (-32.053,-2.450) (-31.806,-52.252)      15.9923
