Fol_.82_.txt     Output is probe cell, reduced cell, NCDist distance between
140    272.51642 875.62998 968.93820 -11010.41716 -2144.94052 -8280.31718       (-7528.345,-630.969) (-6321.993,-65.452) (-537.661,-207.064)      2259.08
141    272.19741 867.50254 967.12942 -10999.20494 -2142.81274 -8276.28620       (-7538.495,-631.288) (-6332.727,-63.644) (-531.662,-208.554)      2275.2
142    271.87841 859.37510 965.32064 -10987.99272 -2140.68496 -8272.25523       (-7548.645,-631.607) (-6343.461,-61.835) (-525.662,-210.044)      2291.32
143    271.55941 851.24766 963.51185 -10976.78050 -2138.55718 -8268.22425       (-7558.795,-631.926) (-6354.195,-60.026) (-519.662,-211.533)      2307.44
144    271.24041 843.12022 961.70307 -10965.56827 -2136.42940 -8264.19328       (-7568.945,-632.245) (-6364.930,-58.217) (-513.663,-213.023)      2323.56
145    270.92141 834.99278 959.89429 -10954.35605 -2134.30162 -8260.16231       (-7579.095,-632.564) (-6375.664,-56.408) (-507.663,-214.513)      2339.67
146    270.60241 826.86534 958.08551 -10943.14383 -2132.17384 -8256.13133       (-7589.245,-632.884) (-6386.398,-54.600) (-501.663,-216.003)      2355.79
147    270.28341 818.73790 956.27673 -10931.93161 -2130.04606 -8252.10036       (-7599.395,-633.203) (-6397.132,-52.791) (-495.664,-217.493)      2371.91
148    269.96441 810.61046 954.46795 -10920.71939 -2127.91827 -8248.06939       (-7609.545,-633.522) (-6407.866,-50.982) (-489.664,-218.982)      2388.03
149    269.64541 802.48302 952.65917 -10909.50716 -2125.79049 -8244.03841       (-7619.695,-633.841) (-6418.600,-49.173) (-483.664,-220.472)      2404.15
150    269.32641 794.35558 950.85039 -10898.29494 -2123.66271 -8240.00744       (-7629.845,-634.160) (-6429.334,-47.364) (-477.665,-221.962)      2420.27
151    269.00741 786.22815 949.04161 -10887.08272 -2121.53493 -8235.97646       (-7639.995,-634.479) (-6440.068,-45.556) (-471.665,-223.452)      2436.39
152    268.68841 778.10071 947.23283 -10875.87050 -2119.40715 -8231.94549       (-7650.145,-634.798) (-6450.803,-43.747) (-465.665,-224.941)      2452.51
153    268.36941 769.97327 945.42405 -10864.65828 -2117.27937 -8227.91452       (-7660.295,-635.117) (-6461.537,-41.938) (-459.666,-226.431)      2468.63
154    268.05041 761.84583 943.61527 -10853.44605 -2115.15159 -8223.88354       (-7670.445,-635.436) (-6472.271,-40.129) (-453.666,-227.921)      2484.75
155    267.73141 753.71839 941.80649 -10842.23383 -2113.02381 -8219.85257       (-7680.595,-635.755) (-6483.005,-38.321) (-447.666,-229.411)      2500.87
156    267.41241 745.59095 939.99771 -10831.02161 -2110.89603 -8215.82159       (-7690.745,-636.074) (-6493.739,-36.512) (-441.667,-230.901)      2516.99
157    267.09341 737.46351 938.18893 -10819.80939 -2108.76824 -8211.79062       (-7700.895,-636.393) (-6504.473,-34.703) (-435.667,-232.390)      2533.11
158    266.77441 729.33607 936.38015 -10808.59717 -2106.64046 -8207.75965       (-7711.045,-636.712) (-6515.207,-32.894) (-429.667,-233.880)      2549.23
159    266.45540 721.20863 934.57137 -10797.38494 -2104.51268 -8203.72867       (-7721.195,-637.031) (-6525.941,-31.085) (-423.668,-235.370)      2565.34
160    266.13640 713.08119 932.76258 -10786.17272 -2102.38490 -8199.69770       (-7731.345,-637.350) (-6536.676,-29.277) (-417.668,-236.860)      2581.46
161    265.81740 704.95375 930.95380 -10774.96050 -2100.25712 -8195.66673       (-7741.495,-637.669) (-6547.410,-27.468) (-411.668,-238.350)      2597.58
162    265.49840 696.82632 929.14502 -10763.74828 -2098.12934 -8191.63575       (-7751.645,-637.988) (-6558.144,-25.659) (-405.669,-239.839)      2613.7
163    265.17940 688.69888 927.33624 -10752.53606 -2096.00156 -8187.60478       (-7761.795,-638.307) (-6568.878,-23.850) (-399.669,-241.329)      2629.82
164    264.86040 680.57144 925.52746 -10741.32383 -2093.87378 -8183.57380       (-7771.945,-638.626) (-6579.612,-22.042) (-393.669,-242.819)      2645.94
165    264.54140 672.44400 923.71868 -10730.11161 -2091.74599 -8179.54283       (-7782.095,-638.945) (-6590.346,-20.233) (-387.670,-244.309)      2662.06
166    264.22240 664.31656 921.90990 -10718.89939 -2089.61821 -8175.51186       (-7792.245,-639.264) (-6601.080,-18.424) (-381.670,-245.798)      2678.18
167    263.90340 656.18912 920.10112 -10707.68717 -2087.49043 -8171.48088       (-7802.395,-639.583) (-6611.814,-16.615) (-375.671,-247.288)      2694.3
168    263.58440 648.06168 918.29234 -10696.47495 -2085.36265 -8167.44991       (-7812.545,-639.902) (-6622.549,-14.806) (-369.671,-248.778)      2710.42
169    263.26540 639.93424 916.48356 -10685.26272 -2083.23487 -8163.41893       (-7822.695,-640.221) (-6633.283,-12.998) (-363.671,-250.268)      2726.54
170    262.94640 631.80680 914.67478 -10674.05050 -2081.10709 -8159.38796       (-7832.845,-640.540) (-6644.017,-11.189) (-357.672,-251.758)      2742.66
